neighborhood,category,class_name,severity,confidence,lat,lon,source_image
El Cajon,Underserved,Longitudinal Crack,Light,0.592,32.791917,-116.965929,img_0000_N_32-791917_-116-965929_jpg.rf.19c3af6ea61253452f48e10db6d6f5ea.jpg
El Cajon,Underserved,Longitudinal Crack,Light,0.486,32.791917,-116.965929,img_0000_N_32-791917_-116-965929_jpg.rf.19c3af6ea61253452f48e10db6d6f5ea.jpg
El Cajon,Underserved,Longitudinal Crack,Light,0.392,32.791917,-116.965929,img_0000_N_32-791917_-116-965929_jpg.rf.19c3af6ea61253452f48e10db6d6f5ea.jpg
El Cajon,Underserved,Transverse Crack,Light,0.302,32.791917,-116.965929,img_0000_N_32-791917_-116-965929_jpg.rf.19c3af6ea61253452f48e10db6d6f5ea.jpg
El Cajon,Underserved,Transverse Crack,Light,0.259,32.791917,-116.965929,img_0000_N_32-791917_-116-965929_jpg.rf.19c3af6ea61253452f48e10db6d6f5ea.jpg
El Cajon,Underserved,Pothole,Severe,0.539,32.791917,-116.965929,img_0001_E_32-791917_-116-965929_jpg.rf.2d11f1444c2359a5ebb02d181c04d2fe.jpg
La Jolla,Wealthier,Transverse Crack,Light,0.28,32.829917,-117.274731,img_0001_E_32-829917_-117-274731_jpg.rf.dc8dabf792ef0c9cda4e89ea1439bb1c.jpg
City Heights,Underserved,Transverse Crack,Light,0.33,32.742817,-117.107928,img_0002_S_32-742817_-117-107928_jpg.rf.386b7aba229284138bd4f9c903c98403.jpg
El Cajon,Underserved,Longitudinal Crack,Light,0.762,32.791917,-116.965929,img_0002_S_32-791917_-116-965929_jpg.rf.61e0930d4803e46bf199d75ffe246d08.jpg
El Cajon,Underserved,Longitudinal Crack,Light,0.515,32.791917,-116.965929,img_0002_S_32-791917_-116-965929_jpg.rf.61e0930d4803e46bf199d75ffe246d08.jpg
El Cajon,Underserved,Transverse Crack,Light,0.448,32.791917,-116.965929,img_0002_S_32-791917_-116-965929_jpg.rf.61e0930d4803e46bf199d75ffe246d08.jpg
El Cajon,Underserved,Longitudinal Crack,Light,0.402,32.791917,-116.965929,img_0002_S_32-791917_-116-965929_jpg.rf.61e0930d4803e46bf199d75ffe246d08.jpg
El Cajon,Underserved,Transverse Crack,Light,0.391,32.791917,-116.965929,img_0002_S_32-791917_-116-965929_jpg.rf.61e0930d4803e46bf199d75ffe246d08.jpg
El Cajon,Underserved,Longitudinal Crack,Light,0.386,32.791917,-116.965929,img_0002_S_32-791917_-116-965929_jpg.rf.61e0930d4803e46bf199d75ffe246d08.jpg
El Cajon,Underserved,Transverse Crack,Light,0.378,32.791917,-116.965929,img_0002_S_32-791917_-116-965929_jpg.rf.61e0930d4803e46bf199d75ffe246d08.jpg
City Heights,Underserved,Side_Walk,N/A,0.635,32.742817,-117.107928,img_0003_W_32-742817_-117-107928_jpg.rf.16ad42c09e712bfbaa1ca2cf14e32eb2.jpg
City Heights,Underserved,Pothole,Severe,0.314,32.742817,-117.107928,img_0003_W_32-742817_-117-107928_jpg.rf.16ad42c09e712bfbaa1ca2cf14e32eb2.jpg
City Heights,Underserved,Pothole,Severe,0.26,32.742817,-117.107928,img_0003_W_32-742817_-117-107928_jpg.rf.16ad42c09e712bfbaa1ca2cf14e32eb2.jpg
City Heights,Underserved,Alligator Crack,Severe,0.286,32.742817,-117.107071,img_0004_N_32-742817_-117-107071_jpg.rf.43a03f8f0900b5830b26c863471078c2.jpg
El Cajon,Underserved,Longitudinal Crack,Light,0.306,32.791917,-116.965072,img_0004_N_32-791917_-116-965072_jpg.rf.2df72743462d2d1b0f1fcfe760e00e3a.jpg
Barrio Logan,Underserved,Side_Walk,N/A,0.385,32.698717,-117.141569,img_0005_E_32-698717_-117-141569_jpg.rf.e5ddf569cd30de7849ad7a3dab54a63c.jpg
Barrio Logan,Underserved,Longitudinal Crack,Light,0.317,32.698717,-117.141569,img_0005_E_32-698717_-117-141569_jpg.rf.e5ddf569cd30de7849ad7a3dab54a63c.jpg
El Cajon,Underserved,Side_Walk,N/A,0.282,32.791917,-116.965072,img_0005_E_32-791917_-116-965072_jpg.rf.99075d67756b7f14a158e53013e1a68f.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.343,32.742817,-117.107071,img_0006_S_32-742817_-117-107071_jpg.rf.6f79bd0dafcd807578bc52981472a5a2.jpg
El Cajon,Underserved,Longitudinal Crack,Light,0.412,32.791917,-116.965072,img_0006_S_32-791917_-116-965072_jpg.rf.97a593ff900847f49186f2310659dda3.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.599,32.742817,-117.107071,img_0007_W_32-742817_-117-107071_jpg.rf.74b20f2c058e07cf6290148f7fc811b9.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.586,32.742817,-117.107071,img_0007_W_32-742817_-117-107071_jpg.rf.74b20f2c058e07cf6290148f7fc811b9.jpg
City Heights,Underserved,Side_Walk,N/A,0.264,32.742817,-117.107071,img_0007_W_32-742817_-117-107071_jpg.rf.74b20f2c058e07cf6290148f7fc811b9.jpg
La Jolla,Wealthier,Transverse Crack,Light,0.544,32.829917,-117.273873,img_0007_W_32-829917_-117-273873_jpg.rf.7ecdb0d86f8e0d3a70d66221690012c2.jpg
La Jolla,Wealthier,Longitudinal Crack,Light,0.478,32.829917,-117.273873,img_0007_W_32-829917_-117-273873_jpg.rf.7ecdb0d86f8e0d3a70d66221690012c2.jpg
City Heights,Underserved,Pothole,Severe,0.471,32.742817,-117.106214,img_0008_N_32-742817_-117-106214_jpg.rf.96ebbba342daae85fc45cdc5860bb925.jpg
City Heights,Underserved,Pothole,Severe,0.396,32.742817,-117.106214,img_0008_N_32-742817_-117-106214_jpg.rf.96ebbba342daae85fc45cdc5860bb925.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.266,32.742817,-117.106214,img_0008_N_32-742817_-117-106214_jpg.rf.96ebbba342daae85fc45cdc5860bb925.jpg
El Cajon,Underserved,Alligator Crack,Severe,0.384,32.791917,-116.964215,img_0008_N_32-791917_-116-964215_jpg.rf.b3f58ba8a95e2e73fcac2598d7a9ae18.jpg
La Jolla,Wealthier,Longitudinal Crack,Light,0.449,32.829917,-117.273015,img_0008_N_32-829917_-117-273015_jpg.rf.deee1b83ecfb4055ac410c421fdb7591.jpg
La Jolla,Wealthier,Transverse Crack,Light,0.259,32.829917,-117.273015,img_0008_N_32-829917_-117-273015_jpg.rf.deee1b83ecfb4055ac410c421fdb7591.jpg
La Jolla,Wealthier,Side_Walk,N/A,0.396,32.829917,-117.273015,img_0009_E_32-829917_-117-273015_jpg.rf.66c08e88a103e1f6f41f4b3fcf65ac0c.jpg
La Jolla,Wealthier,Side_Walk,N/A,0.291,32.829917,-117.273015,img_0009_E_32-829917_-117-273015_jpg.rf.66c08e88a103e1f6f41f4b3fcf65ac0c.jpg
City Heights,Underserved,Pothole,Severe,0.276,32.742817,-117.106214,img_0010_S_32-742817_-117-106214_jpg.rf.6061905ee2d76d13027f1e914fb8547d.jpg
El Cajon,Underserved,Pothole,Severe,0.263,32.791917,-116.964215,img_0010_S_32-791917_-116-964215_jpg.rf.fed9999144719e8b9a23328a9eed5d52.jpg
La Jolla,Wealthier,Longitudinal Crack,Light,0.429,32.829917,-117.273015,img_0010_S_32-829917_-117-273015_jpg.rf.1b6d021c3eac92edce9038cda5527775.jpg
City Heights,Underserved,Transverse Crack,Light,0.439,32.742817,-117.105357,img_0012_N_32-742817_-117-105357_jpg.rf.53f1a846caac0f44a373e206b716d3eb.jpg
City Heights,Underserved,Side_Walk,N/A,0.277,32.742817,-117.105357,img_0012_N_32-742817_-117-105357_jpg.rf.53f1a846caac0f44a373e206b716d3eb.jpg
City Heights,Underserved,Pothole,Severe,0.269,32.742817,-117.105357,img_0012_N_32-742817_-117-105357_jpg.rf.53f1a846caac0f44a373e206b716d3eb.jpg
El Cajon,Underserved,Longitudinal Crack,Light,0.425,32.791917,-116.963357,img_0012_N_32-791917_-116-963357_jpg.rf.16ce599ed3b78baebd3d508212725921.jpg
El Cajon,Underserved,Longitudinal Crack,Light,0.345,32.791917,-116.963357,img_0012_N_32-791917_-116-963357_jpg.rf.16ce599ed3b78baebd3d508212725921.jpg
La Jolla,Wealthier,Pothole,Severe,0.698,32.829917,-117.272158,img_0012_N_32-829917_-117-272158_jpg.rf.fc6c5a553beea15f3612c8acc52fadfe.jpg
